Relative Time,Date,Time Stamp UTC,Volt,Volt,PSI ,Pounds
1390.17,45906,0.944537037,0.565185547,0.565185547,622.2381592,298.7636093
1390.18,45906,0.944537037,0.559082031,0.558776855,615.1428223,294.5458751
1390.19,45906,0.944537037,0.551757813,0.552368164,608.2763672,290.260113
1390.2,45906,0.944537037,0.544433594,0.545654297,601.1810303,285.7702669
1390.21,45906,0.944537037,0.538330078,0.538635254,593.3990479,281.1783789
1390.22,45906,0.944537037,0.531005859,0.531311035,585.3881836,276.4844489
1390.23,45906,0.944537037,0.523681641,0.523681641,576.9195557,271.586435
1390.24,45906,0.944537037,0.515136719,0.51574707,568.4509277,266.5183512
1390.25,45906,0.944537037,0.5078125,0.508117676,559.9822998,261.4502674
1390.26,45906,0.944537037,0.500488281,0.500488281,551.0559082,256.5862675
1390.27,45906,0.944537037,0.491943359,0.493164063,542.3583984,251.7222675
1390.28,45906,0.944537037,0.484619141,0.485229492,533.4320068,246.7562257
1390.29,45906,0.944537037,0.476074219,0.476989746,524.7344971,241.6541279
1390.3,45906,0.944537037,0.46875,0.469360352,516.494751,236.654072
1390.31,45906,0.944537037,0.461425781,0.462036133,508.2550049,231.960142
1390.32,45906,0.944537037,0.454101563,0.455322266,500.4730225,227.5723379
1390.33,45906,0.944537037,0.447998047,0.448913574,493.3776855,223.1845338
1390.34,45906,0.944537037,0.440673828,0.442199707,486.5112305,218.9327856
1390.35,45906,0.944537037,0.435791016,0.435791016,480.1025391,214.8511074
1390.36,45906,0.944537037,0.4296875,0.429382324,473.4649658,210.8034431
1390.37,45906,0.944537037,0.422363281,0.422973633,466.8273926,206.449653
1390.38,45906,0.944537037,0.416259766,0.416259766,459.5031738,201.891779
1390.39,45906,0.944537037,0.408935547,0.409851074,451.2634277,197.265877
1390.4,45906,0.944537037,0.401611328,0.403137207,442.565918,192.3678631
1390.41,45906,0.944537037,0.393066406,0.395812988,432.9528809,187.1637233
1390.42,45906,0.944537037,0.385742188,0.38848877,423.5687256,181.9255695
1390.43,45906,0.944537037,0.377197266,0.381469727,414.1845703,176.9935417
1390.44,45906,0.944537037,0.369873047,0.374145508,405.0292969,171.8574299
1390.45,45906,0.944537037,0.361328125,0.365905762,395.6451416,166.4151922
1390.46,45906,0.944537037,0.354003906,0.357666016,386.2609863,161.1090105
1390.47,45906,0.944537037,0.346679688,0.349121094,377.1057129,156.0409267
1390.48,45906,0.944537037,0.339355469,0.340576172,367.9504395,150.9388289
1390.49,45906,0.944537037,0.33203125,0.331726074,359.2529297,145.7006751
1390.5,45906,0.944537037,0.324707031,0.322875977,350.0976563,140.4965353
1390.51,45906,0.944537037,0.317382813,0.314331055,340.9423828,135.3264096
1390.52,45906,0.944537037,0.308837891,0.305786133,331.3293457,130.0882558
1390.53,45906,0.944537037,0.301513672,0.297546387,321.9451904,125.0882
1390.54,45906,0.944537037,0.29296875,0.290222168,312.5610352,120.326242
1390.55,45906,0.944537037,0.284423828,0.283203125,303.4057617,115.632312
1390.56,45906,0.944537037,0.277099609,0.27557373,294.0216064,111.040424
1390.57,45906,0.944537037,0.269775391,0.268859863,284.866333,106.7546618
1390.58,45906,0.944537037,0.262451172,0.262451172,276.1688232,102.8090395
1390.59,45906,0.944537037,0.256347656,0.25604248,267.9290771,98.76137528
1390.6,45906,0.944537037,0.249023438,0.249633789,259.6893311,94.78173899
1390.61,45906,0.944537037,0.242919922,0.242919922,251.2207031,90.76808872
1390.62,45906,0.944537037,0.236816406,0.23651123,242.2943115,86.65239649
1390.63,45906,0.944537037,0.229492188,0.229492188,233.8256836,82.36663433
1390.64,45906,0.944537037,0.223388672,0.222167969,225.5859375,78.04685819
1390.65,45906,0.944537037,0.216064453,0.215148926,217.5750732,73.72708204
1390.66,45906,0.944537037,0.209960938,0.208435059,209.7930908,69.61138981
1390.67,45906,0.944537037,0.203857422,0.202331543,202.2399902,65.73379548
1390.68,45906,0.944537037,0.197753906,0.196228027,194.6868896,62.06028506
1390.69,45906,0.944537037,0.191650391,0.190734863,187.5915527,58.42078862
1390.7,45906,0.944537037,0.184326172,0.184020996,180.7250977,54.03298451
1390.71,45906,0.944537037,0.17578125,0.174560547,173.8586426,47.60434127
1390.72,45906,0.944537037,0.164794922,0.163574219,166.9921875,39.54302673
1390.73,45906,0.944537037,0.155029297,0.15411377,160.5834961,33.01234154
1390.74,45906,0.944537037,0.151367188,0.15045166,154.1748047,31.07354437
1390.75,45906,0.944537037,0.151367188,0.151672363,147.7661133,32.70621567
1390.76,45906,0.944537037,0.152587891,0.152282715,141.8151855,34.0327611
1390.77,45906,0.944537037,0.148925781,0.149536133,135.8642578,32.80825763
1390.78,45906,0.944537037,0.145263672,0.144348145,130.5999756,29.54291503
1390.79,45906,0.944537037,0.139160156,0.13885498,125.3356934,25.86940461
1390.8,45906,0.944537037,0.135498047,0.135192871,120.5291748,23.52243962
1390.81,45906,0.944537037,0.134277344,0.133666992,116.1804199,22.97821585
1390.82,45906,0.944537037,0.133056641,0.132751465,112.2894287,23.01222984
1390.83,45906,0.944537037,0.131835938,0.13092041,108.8562012,22.12786622
1390.84,45906,0.944537037,0.128173828,0.127563477,104.96521,19.91695717
1390.85,45906,0.944537037,0.123291016,0.122680664,101.7608643,16.78767051
1390.86,45906,0.944537037,0.119628906,0.118408203,99.01428223,13.65838386
1390.87,45906,0.944537037,0.115966797,0.11505127,96.2677002,11.34543285
1390.88,45906,0.944537037,0.113525391,0.112609863,93.75,9.508677642
1390.89,45906,0.944537037,0.109863281,0.109558105,91.46118164,7.739950402
1390.9,45906,0.944537037,0.108642578,0.107421875,89.40124512,6.345377001
1390.91,45906,0.944537037,0.107421875,0.106811523,86.88354492,5.869181206
1390.92,45906,0.944537037,0.107421875,0.106811523,84.8236084,6.27734903
1390.93,45906,0.944537037,0.108642578,0.107421875,82.99255371,7.229740621
1390.94,45906,0.944537037,0.108642578,0.108642578,81.39038086,8.216146197
1390.95,45906,0.944537037,0.108642578,0.108947754,79.78820801,8.48825808
1390.96,45906,0.944537037,0.107421875,0.107421875,78.18603516,7.297768592
1390.97,45906,0.944537037,0.104980469,0.104675293,76.5838623,4.984817586
1390.98,45906,0.944537037,0.102539063,0.101928711,74.98168945,3.046020419
1390.99,45906,0.944537037,0.101318359,0.101013184,73.60839844,2.433768682
1391,45906,0.944548611,0.101318359,0.100708008,72.23510742,2.501796653
1391.01,45906,0.944548611,0.100097656,0.100097656,71.31958008,2.331726726
